Points,Expansions,PlayerCount,Platform,factionsInGame.1,factionsInGame.2,factionsInGame.3,factionsInGame.4,factionsInGame.5,factionsInGame.6,factionsInGame.7,factionsInGame.8,WinningFaction,Index
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Federation of Sol"," Embers of Muaat"," Empyrean"," Deepwrought Scholarate"," Xxcha Kingdom"," Emirates of Hacan","","","Xxcha Kingdom",287
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Nekro Virus"," Yssaril Tribes"," Argent Flight"," Universities of Jol-Nar"," Arborec"," Embers of Muaat","","","Argent Flight",290
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Winnu"," Ghosts of Creuss"," Federation of Sol"," Mentak Coalition"," Argent Flight"," Clan of Saar","","","Ghosts of Creuss",292
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Mentak Coalition"," Xxcha Kingdom"," Winnu"," Vuil'raith Cabal"," Mahact Gene-Sorcerers"," Nomad","","","Winnu",294
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Last Bastion"," Naaz-Rokha Alliance"," Mentak Coalition"," Arborec"," Yssaril Tribes"," Yin Brotherhood","","","Yssaril Tribes",295
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Yssaril Tribes"," Emirates of Hacan"," Naalu Collective"," Arborec"," Mahact Gene-Sorcerers"," Crimson Rebellion","","","Mahact Gene-Sorcerers",297
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Titans of Ul"," Deepwrought Scholarate"," Sardakk N'orr"," Barony of Letnev"," Nekro Virus"," Universities of Jol-Nar","","","Universities of Jol-Nar",301
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Emirates of Hacan"," Ghosts of Creuss"," Ral Nel Consortium"," Embers of Muaat"," Mentak Coalition"," Nomad","","","Ral Nel Consortium",306
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ghosts of Creuss"," Naaz-Rokha Alliance"," Embers of Muaat"," Argent Flight"," Barony of Letnev"," Universities of Jol-Nar","","","Embers of Muaat",308
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Mentak Coalition"," Clan of Saar"," Titans of Ul"," Vuil'raith Cabal"," Universities of Jol-Nar"," Barony of Letnev","","","Clan of Saar",310
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Arborec"," Crimson Rebellion"," Nomad"," Federation of Sol"," Emirates of Hacan"," Empyrean","","","Nomad",314
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ral Nel Consortium"," Barony of Letnev"," Mahact Gene-Sorcerers"," Nekro Virus"," Arborec"," Argent Flight","","","Arborec",315
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Crimson Rebellion"," Clan of Saar"," Argent Flight"," Mentak Coalition"," Arborec"," Yssaril Tribes","","","Crimson Rebellion",325
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Federation of Sol"," L1Z1X Mindnet"," Sardakk N'orr"," Ghosts of Creuss"," Argent Flight"," Last Bastion","","","Ghosts of Creuss",328
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Emirates of Hacan"," Titans of Ul"," Argent Flight"," Ral Nel Consortium"," Sardakk N'orr"," Clan of Saar","","","Ral Nel Consortium",329
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Barony of Letnev"," Vuil'raith Cabal"," Keleres ~ Mentak"," Yin Brotherhood"," Emirates of Hacan"," Nomad","","","Vuil'raith Cabal",332
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Empyrean"," Arborec"," Vuil'raith Cabal"," Naaz-Rokha Alliance"," Firmament"," Deepwrought Scholarate","","","Deepwrought Scholarate",334
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Crimson Rebellion"," Xxcha Kingdom"," Titans of Ul"," Yin Brotherhood"," Yssaril Tribes"," Clan of Saar","","","Clan of Saar",338
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Keleres ~ Mentak"," Barony of Letnev"," Nekro Virus"," Yssaril Tribes"," Ghosts of Creuss"," Universities of Jol-Nar","","","Ghosts of Creuss",343
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Arborec"," Nekro Virus"," Firmament"," Federation of Sol"," Ghosts of Creuss"," Universities of Jol-Nar","","","Ghosts of Creuss",350
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Empyrean"," Universities of Jol-Nar"," Firmament"," Ral Nel Consortium"," Embers of Muaat"," Ghosts of Creuss","","","Ral Nel Consortium",352
